Year,Month,District,Ward,Village,Subvillage,Site.name,Waterbody,CorrectedWBName,Date,water.body_Type,Long_dimension..M.,Perp.dimension..M.,Water_level,Season,Time_in,Time_out,Snail_present,livestock_present,Snail_genus_collected,Number_of.Bulinus_collected,Number.of.Infected.snails
2021,June,Misungwi ,Bulemeji,Buganda,Nyamijundu  B,Kwa Ng'wamasele,kwa Ng'wamasele,Mtoni kwa Ng'wamasele,8-Jun-21,"Stream,permanent",65,72,Normal,Dry,10:18,10:33,"Bulinus,Biomphalaria, Pila, Lymneae","Cow, Sheep,Dogs, Feces.",Bulinus,40,0
2021,June,Misungwi ,Bulemeji,Buganda,Nyamijundu B,Kwa Zebedayo,Kwa Zebedayo,Kwa Zebedayo,8-Jun-21,"Pond, Temporary",15,23.5,Normal,Dry,11:11,11:26,"Bulinus, pila, Biomphalaria","Cow, Sheep,Dogs, Feces.",Bulinus,104,0
2021,June,Misungwi ,Bulemeji,Buganda,Nyamijundu A,Lambo la Igogo,Lambo la Igogo,Lambo la Igogo,8-Jun-21,Pond. Temporary,75,130,Normal,Dry,12:07,12:22,"Bulinus, pila","Cow, Sheep,Dogs, Goat.",Bulinus,25,2
2021,June,Misungwi ,Bulemeji,Buganda,Nyamijundu B,Lambo la kwa Makongoro,Lambo la kwa Makongoro,Lambo la kwa Makongoro,8-Jun-21,"Pond,Temporary",35.3,56.1,Normal,Dry,10:00,10:15,"Bulinus, Lymneae, Pila","Cow, Sheep,Dogs, Feces.",Bulinus,33,0
2021,June,Misungwi ,Bulemeji,Buganda,Ijijawenda B,Lambo la Mwabulemo,Lambo la Mwabulemo,Lambo la Mwabulemo,9-Jun-21,"Pond, Temporary",25.3,49.8,Normal,Dry,11:45,12:00,"Bulinus, pila",Feces,Bulinus,32,0
2021,June,Misungwi ,Bulemeji,Buganda,Buganda,Lambo la Mwandimanya,Lambo la Mwandimanya,Lambo la Mwandimanya,8-Jun-21,"Pond, Temporary",42,81,Normal,Dry,13:09,13:26,None,"Cow, Sheep,Dogs, Feces.",None,0,0
2021,June,Misungwi ,Kolomije,Bugomba,Bugomba B,Barinago malendeja,kisima cha Goyi,Kisima cha Goyi,18-Jun-21,"Pond,Permanent",14.3,24.9,Normal,Dry,10:40,10:55,"Bulinus, Pila",None,Bulinus,6,0
2021,June,Misungwi ,Kolomije,Bugomba,Buchela,kwa charles Itoba,kisima cha Itoba,Kisima cha Itoba,18-Jun-21,"Pond,Permanent",5.7,9.5,Normal,Dry,11:23,11:38,Bulinus,None,Bulinus,59,0
2021,June,Misungwi ,Kolomije,Bugomba,Bugomba B,kwa Masanja shija,kisima cha Ng'wabhukumbi,Kisima cha Ng'wabhukumbi,18-Jun-21,"Pond,Permanent",16.5,31.9,Normal,Dry,10:18,10:33,Bulinus,None,Bulinus,71,0
2021,June,Misungwi ,Kolomije,Bugomba,Hilu,kwa Mpejua nyanda,kisima cha Ng'wanzela,Kisima cha Ng'wanzela,18-Jun-21,"Pond,Permanent",9,14.6,Normal,Dry,12:30,12:45,Bulinus,None,Bulinus,13,0
2021,June,Misungwi ,Kolomije,Bugomba,Bugomba B,kwa lushina kwibondoja,Lambo la Goyi,Lambo la Goyi,18-Jun-21,"Pond,Permanent",31,47,Normal,Dry,11:02,11:17,Bulinus,"cow, feces, goat",None,0,0
2021,June,Misungwi ,Kolomije,Bugomba,Hilu,kwa Edward kavela,Lambo la Ng'wakavela,Lambo la Ng'wakavela,18-Jun-21,"Pond,Permanent",23,42,Normal,Dry,12:05,12:20,None,"Sheep,cow,feces,goat",None,0,0
2021,June,Misungwi ,Kolomije,Bugomba,Bugomba B,Kwa shindika,Lambo la TASAF-shindika,Lambo la TASAF-Shindika,18-Jun-21,"Pond,Permanent",48,83.7,Normal,Dry,10:00,10:15,Bulinus,Feces,Bulinus,9,0
2021,July,Busega,Kalemela,Bushigwamhala,Buchela,Shamba la Ng'wamahela,Lambo la Ng'wamahela,Lambo la Ng'wamahela,19-Jul-21,"Pond,Temporary",_,_,Dry,Dry,_,_,None,Feces,None,0,0
2021,June,Sengerema,Busisi,Busisi,Busekwanoni,Kwa Juma Makona,Kisima cha Busekwanoni,Kisima cha Busekwanoni,29-Jun-21,"Pond,Permanent",4.4,8.2,Normal,Dry,14:46,15:01,None,None,None,0,0
2021,June,Sengerema,Busisi,Busisi,Mkomba_Jineri,Kwa Mkomba Jineri,Kisima cha Mkomba Jineri,Kisima cha Mkomba Jineri,29-Jun-21,"Pond, Permanent",6,11,Normal,Dry,14:12,14:27,"Bulinus, Lymnaea, Pila",None,Bulinus,67,0
2021,June,Misungwi ,Igokelo,Busolwa,Bujingwa,Kwa Kulwa,Kisima/Lambo la Ng'wakabisu,Kisima/Lambo la Ng'wakabisu,10-Jun-21,"Pond, Permanent",10.6,18.5,Normal,Dry,9:53,10:08,None,None,None,0,0
2021,June,Misungwi ,Igokelo,Busolwa,Nyanda,Lambo la Christopher Nyanda,Lambo la Christopher Nyanda,Lambo la Christopher Nyanda,10-Jun-21,"Pond, Permanent",14.1,22.4,Normal,Dry,9:30,9:45,Bulinus,"Feces, Cow",Bulinus,23,0
2021,July,Busega,Kalemela,Chamugasa,Misheni,Eneo la Pastory Petro,Bwawa la Pastory Petro,Bwawa la Pastory Petro,19-Jul-21,"Pond,Temporary",45,75,Normal,Dry,13:27,13:42,Bulinus,"Feces, cow",Bulinus,87,0
2021,July,Busega,Kalemela,Chamugasa,Misheni,Shamba la Ezekiel Kabadi,Lambo la Mwajombo,Lambo la Mwajombo,19-Jul-21,"Pond,Temporary",_,_,Dry,Dry,_,_,None,None,None,0,0
2021,July,Busega,Kalemela,Chamugasa,Nyakulunduma,Shamba la Elias Kasonzu,Mto Nyang'humbi site 01,Mto Nyang'humbi Site 1,19-Jul-21,"River,Temporary",4.8,6,Normal,Dry,12:50,13:05,None,None,None,0,0
2021,July,Busega,Kalemela,Chamugasa,Nyakulunduma,Sophia Kazinza,Mto Nyang'humbi site 02,Mto Nyang'humbi Site 2,19-Jul-21,"River,Temporary",_,_,Dry,Dry,_,_,_,Feces,None,0,0
2021,July,Kishapu,Sekebugoro,Dulisi,Unyanyembe,Lambo la luduka magobo,Lambo la luduka magobo,Lambo la Luduka Magobo,28-Jul-21,"Pond, temporary",_,_,Dry,Dry,_,_,None,None,None,0,0
2021,July,Kishapu,Sekebugoro,Dulisi,Unyanyembe,Lambo la Rafael tinde,Lambo la Rafael tinde,Lambo la Rafael Tinde,28-Jul-21,"Pond, temporary",17.4,24.4,Low,Dry,12:41,12:56,Bulinus,Feces,Bulinus,13,0
2021,July,Kishapu,Sekebugoro,Dulisi,Unyanyembe,Mfereji wa Rafael tinde,Mfereji wa Rafael tinde,Mfereji wa Rafael Tinde,28-Jul-21,"Stream,temporary",10,14.5,Low,Dry,12:00,12:15,None,Feces,None,0,0
2021,June,Misungwi ,Kanyelele,Gambajiga,Ilangashika,Kwa Bilia Nkengwa,Bwawa la Galaya,Bwawa la Galaya,17-Jun-21,"Dam, Permanent",121,205,Normal,Dry,11:40,11:55,Bulinus,"Cow, Sheep,Dogs, Feces,Goats",Bulinus,92,8
2021,June,Misungwi ,Kanyelele,Gambajiga,Isanzu,Kwa Wanzile Igulyati,Kisima cha Mwalyanda,Kisima cha Mwalyanda,17-Jun-21,"Pond, permanent",20.3,26.3,Normal,Dry,10:35,10:50,"Bulinus, Lymneae",Dogs,Bulinus,32,0
2021,June,Misungwi ,Kanyelele,Gambajiga,Lugulu,Kwa Kapunga,Lambo la buchama,Lambo la Buchama,17-Jun-21,"pond, permanent",48,72.4,Normal,Dry,9:40,9:55,"Bulinus, Biomphalaria","Cow,Feces",None,0,0
2021,June,Misungwi ,Kanyelele,Gambajiga,Igumo,Kwa Butawantemi,Lambo la Butawantemi,Lambo la Butawantemi,17-Jun-21,"Pond, temporary",35,62,Normal,Dry,11:13,11:28,"Bulinus, Lymneae","Feces,cow,goat",Bulinus,32,0
2021,June,Misungwi ,Kanyelele,Gambajiga,Isanzu,Kwa Kulwa Lufilisha,Lambo la Ng'wamanonga,Lambo la Ng'wamanonga,17-Jun-21,"Pond, permanent",39,74,Normal,Dry,10:12,10:27,"Bulinus, Lymneae, Biomphalaria","Cow, dogs, Feces. ",Bulinus,1,0
2021,July,Kwimba,Nyambiti,Ibindo,Iseni,Bwawa la Ibindo Iseni,Bwawa la Ibindo Iseni,Bwawa la Ibindo Iseni,29-Jul-21,"Dam, Permanent",200,336,Normal,Dry,12:19,12:34,Bulinus,"cow,Sheep,Feces,goat and Dogs",Bulinus,6,0
2021,July,Kwimba,Nyambiti,Ibindo,Ntambala,Bwawa la Ibindo tallo,Bwawa la Ibindo tallo,Bwawa la Ibindo Tallo,29-Jul-21,"Dam, Permanent",244,443,Normal,Dry,13:43,13:58,None,"cow,Sheep,Feces,goat",None,0,0
2021,July,Kwimba,Nyambiti,Ibindo,Ntambala,Kisima cha kwa Kefa,Kisima cha kwa Kefa,Kisima cha kwa Kefa,29-Jul-21,"Pond, Temporary",3.6,4.8,Low,Dry,12:42,12:57,None,None,None,0,0
2021,July,Kwimba,Nyambiti,Ibindo,Ntambala,Kisima cha Manyallila,Kisima cha Manyallila,Kisima cha Manyallila,29-Jul-21,"Pond, Temporary",7,12.5,Normal,Dry,14:17,14:32,Bulinus,None,Bulinus,2,0
2021,July,Kwimba,Nyambiti,Ibindo,Iseni,Lambo la kwa John,Lambo la kwa John,Lambo la kwa John,29-Jul-21,"Pond, Temporary",8,13,Low,Dry,11:55,12:10,Bulinus,Feces,Bulinus,74,0
2021,July,Kwimba,Nyambiti,Ibindo,Ntambala,Lambo la kwenye Ndimu,Lambo la kwenye Ndimu,Lambo la Kwenye Ndimu,29-Jul-21,"Pond, Temporary",17.9,40.6,Normal,Dry,13:02,13:17,Bulinus,Feces,Bulinus,109,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Kigala,Kigala -Mkuyuni,Kisima cha Kigala(Mkuyuni),Kisima cha Kigala Mkuyuni,21-Jun-21,"Pond,Permanent",13.6,20.9,Normal,Dry,16:05,16:20,None,None,None,0,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Muya,Kwa Mchele,Kisima cha kwa Mchele,Kisima cha kwa Mchele,21-Jun-21,"Pond, Permanent",12.8,18.2,Normal,Dry,13:05,13:20,"Bulinus, Lymnaea",None,Bulinus,1,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Izunya,Kwa kwinenge,Kisima cha Kwinenge,Kisima cha Kwinenge,21-Jun-21,"Pond,Permanent",27.3,38.7,Normal,Dry,16:25,16:40,None,None,None,0,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Chamhela,Kwa Luhala,Kisima cha Luhala,Kisima cha Luhala,21-Jun-21,Pond' Permanent,17,27.2,Normal,Dry,11:00,11:05,None,None,None,0,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Kitangili,Kwa Ng'wakasumba,Kisima cha Ng'wakasumba,Kisima cha Ng'wakasumba,21-Jun-21,Pond'Temporary,7.7,13.7,Normal,Dry,12:10,12:25,"Lymneae,Pila",None,None,0,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Kitongo,Kwa Ng'wantondope,Kisima cha Ng'wantondope,Kisima cha Ng'wantondope,21-Jun-21,"Pond,Temporary",17,19,Normal,Dry,13:35,13:50,Bulinus,None,Bulinus,3,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Mwakabuli,Mwakabuli-Relini,Kisima cha Relini,Kisima cha Relini,21-Jun-21,"Pond,Permanent",9,15,Normal,Dry,15:15,15:30,"Lymneae,Pila",None,None,0,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Izunya,Kwa Nkigila,Kisima kwa Nkigila,Kisima kwa Nkigila,21-Jun-21,"Pond,Permanent",13,25,Normal,Dry,16:50,17:05,"Bulinus,Lymneae,Biomphalaria","Sheep,Cow,Goat and feces",Bulinus,2,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Kigala,Kigala -Mkuyuni,Lambo la Kigala,Lambo la Kigala,21-Jun-21,"Pond,Temporary",40.3,68.7,Normal,Dry,15:45,16:00,None,"Sheep,Cow,Goat and feces",None,0,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Kitangili,Kwa Ng'wakasumba,Lambo la Ng'wakasumba,Lambo la Ng'wakasumba,21-Jun-21,"Pond,Temporary",38,55.5,Normal,Dry,12:30,12:45,Bulinus,"Sheep,Cow,Goat and feces",Bulinus,1,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Ng'wangoye,Kwa  Ng'wangoye,Lambo la Ng'wangoye,Lambo la Ng'wangoye,21-Jun-21,"Pond, Permanent",30,51,Normal,Dry,12:23,11:38,Bulinus,None,Bulinus,17,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Kitongo,Kwa Philipo Lulyeho,Lambo la Philipo Lulyeho,Lambo la Philipo Lulyeho,21-Jun-21,"Pond,Temporary",19.5,33.5,Normal,Dry,14:00,14:15,Lymneae,None,None,0,0
2021,June,Misungwi ,Kolomije,Ibongoya A,Ng'wangoye,Kwa Shimboyo Luhoya,Lambo la Shimboyo,Lambo la Shimbolyo,21-Jun-21,"Pomd, permanent",35,53,Normal,Dry,11:40,11:55,None,"Sheep,Cow,Goat and feces",None,0,0
2021,June,Misungwi ,Kolomije,Ibongoya B,Nyagi,Kwa Ng'wakaliwa,Kisima cha Ng'wakaliwa,Kisima cha Ng'wakaliwa,22-Jun-21,"Pond,Temporary",11.1,18.9,Normal,Dry,13:40,13:55,"Bulinus, Pila, Lymneae",None,Bulinus,11,0
2021,June,Misungwi ,Kolomije,Ibongoya B,Nyambui,Kwa Ng'wamalinga,Kisima cha Ng'wamalinga,Kisima cha Ng'wamalinga,22-Jun-21,"Pond,Permanent",8.5,16,Normal,Dry,12:00,12:15,Bulinus,None,Bulinus,5,0
2021,June,Misungwi ,Kolomije,Ibongoya B,Nyambuyi,Kwa Ng'wanhungo,Kisima cha Ng'wanhungo,Kisima cha Ng'wanhungo,22-Jun-21,"Pond,Permanent",28.5,47.3,Normal,Dry,11:31,11:46,Lymneae,None,None,0,0
2021,June,Misungwi ,Kolomije,Ibongoya B,Nyabugeni,Kwa Nyabugeni,Kisima cha Nyabugeni,Kisima cha Nyabugeni,22-Jun-21,"Pond,Permanent",8.7,14.1,Normal,Dry,12:55,13:10,"Bulinus,Pila.",None,Bulinus,33,0
2021,June,Misungwi ,Kolomije,Ibongoya B,Nyagi,Kwa Nyagi,Kisima cha Nyagi,Kisima cha Nyagi,22-Jun-21,"Pond,Permanent",9,14,Normal,Dry,13:17,13:32,None,Feces,None,0,0
2021,June,Misungwi ,Kolomije,Ibongoya B,Nyagi,Kwa Ng'honela,Lambo la Ng'honela,Lambo la Ng'honela,22-Jun-21,"Pond,Temporary",27,47,Normal,Dry,14:05,14:20,Bulinus,"Sheep,Cow,Goat and feces",Bulinus,7,0
2021,June,Misungwi ,Kolomije,Ibongoya B,Ibongoya,Kwa Ng'wamang'wasa,Lambo_Kisima Ng'wamang'wasa,Lambo/Kisima Ng'wamang'wasa,22-Jun-21,"Pond,Permanent",13,24,Normal,Dry,10:59,11:14,Pila,Feces,None,0,0
2021,July,Misungwi ,Shilalo,Ikungumhulu,Nhundulu,Kwa Nchilu mnyeti,Kisima cha Nchilu Mnyeti,Kisima cha Nchilu Mnyeti,2-Jul-21,"Pond,Temporary",14,19.7,Low,Dry,11:50,12:05,Bulinus,"Cow, Feces, Goats.",Bulinus,4,0
2021,July,Misungwi ,Shilalo,Ikungumhulu,Nhundulu,Kwa Renard Ngelija,Kisima cha Renard ngeleji,Kisima cha Renard Ngeleji,2-Jul-21,"Pond,Temporary",21.3,37.9,Low,Dry,11:30,11:45,Bulinus,Feces,Bulinus,10,0
2021,July,Misungwi ,Shilalo,Ikungumhulu,Mwanzuli,Kwa fugo Shinyama,Lambo la fugo shinyama,Lambo la Fugo Shinyama,2-Jul-21,"Pond,Temporary",29.8,49.8,Normal,Dry,10:15,10:30,Bulinus,"Cow, Sheep,Feces, Goats.",Bulinus,39,0
2021,July,Misungwi ,Shilalo,Ikungumhulu,Igwata,Igwata,Lambo la Kijiji Igwata,Lambo la Kijiji Igwata,2-Jul-21,"Pond,Temporary",_,_,Dry,Dry,_,_,None,Feces,None,0,0
2021,July,Misungwi ,Shilalo,Ikungumhulu,Mwanzuli,Kwa Machai,Lambo la Machai,Lambo la Machai,2-Jul-21,"Pond,Temporary",_,_,Dry,Dry,_,_,None,Feces,None,0,0
2021,July,Misungwi ,Shilalo,Ikungumhulu,Nhundulu,Kwa shimbi George,Lambo la shimbi George,Lambo la Shimbi George,2-Jul-21,"Pond,Temporary",19.6,31.1,Normal,Dry,12:07,12:22,Bulinus,Feces,Bulinus,90,0
2021,July,Misungwi ,Shilalo,Ikungumhulu,Igwata,Igwata,Lambo la Sospeter walwa,Lambo la Sospeter Walwa,2-Jul-21,"Pond,Temporary",2.7,6,Low,Dry,12:45,13:00,Bulinus,Feces,Bulinus,7,0
2021,July,Magu,Sukuma,Iseni,Burundi,Kisima cha Burundi/Nojaminzi,Kisima cha Burundi/Nojaminzi,Kisima cha Burundi/Nojaminzi,13-Jul-21,"Pond,Temporary",10.6,20.6,Normal,Dry,12:06,12:21,Bulinus,Feces,Bulinus,23,0
2021,July,Magu,Sukuma,Iseni,Rwanda,Kisima Cha Kibimbila ,Kisima Cha Kibimbila ,Kisima cha Kibimbila ,13-Jul-21,"Pond,Temporary",20.3,40.4,Normal,Dry,11:42,11:57,Bulinus,None,bulinus,5,0
2021,July,Magu,Sukuma,Iseni,Iseni,Kisima cha Mwabalogi,Kisima cha Mwabalogi,Kisima cha Mwabalogi,13-Jul-21,"Pond,Temporary",34.5,54.5,Normal,Dry,10:30,10:45,"Bulinus,  Pila",None,Bulinus,8,0
2021,July,Magu,Sukuma,Iseni,Mwabaluhi,Kisima cha mwakabizo,Kisima cha mwakabizo,Kisima cha Mwakabizo,13-Jul-21,"Pond,Temporary",27.4,53.7,Normal,Dry,12:39,12:54,None,None,None,0,0
2021,July,Magu,Sukuma,Iseni,Rwanda,Lambo la Joseph Mayunga,Lambo la Joseph Mayunga,Lambo la Joseph Mayunga,13-Jul-21,"Pond,Temporary",0.7,1.3,Low,Dry,10:57,11:12,None,Feces,None,0,0
2021,July,Magu,Sukuma,Iseni,Shomanyilwentemi,Lambo la Mwabulilo site 1,Lambo la Mwabulilo site 1,Lambo la Mwabulilo Site 1,13-Jul-21,"Pond,Temporary",23.5,32.5,Normal,Dry,9:45,10:00,None,feces,None,0,0
2021,July,Magu,Sukuma,Iseni,Shomanyilwentemi,Lambo la Mwabulilo site 2,Lambo la Mwabulilo site 2,Lambo la Mwabulilo Site 2,13-Jul-21,"Pond,Temporary",2.5,4.8,Normal,Dry,10:03,10:18,Bulinus,"Cow, Feces",Bulinus,19,0
2021,July,Magu,Sukuma,Iseni,Rwanda,Lambo la Rwanda,Lambo la Rwanda,Lambo la Rwanda,13-Jul-21,"Pond,Temporary",46.7,60.3,Normal,Dry,11:16,11:31,"Bulinus,  Pila","Cow, Sheep, Feces, Goat,",Bulinus,2,0
2021,July,Sengerema,Buyagu,Isole,Senta,Kwa Simon Iswaga,Kisima cha Simon Iswaga,Kisima cha Simon Iswaga,3-Jul-21,"Pond,Permanent",8.5,16.7,Normal,Dry,11:59,12:14,"Bulinus,Lymneae ",None,Bulinus,24,0
2021,July,Sengerema,Buyagu,Isole,Bugalama,Kwa Cosmas Ngusule,Lambo la Cosmas Ngusule,Lambo la Cosmas Ngusule,3-Jul-21,"Pond,Permanent",60.2,79.2,Normal,Dry,10:25,10:40,Bulinus,Cow and feces,Bulinus,13,1
2021,July,Sengerema,Buyagu,Isole,Nduha,Kwa Joseph Malyengete,Lambo la Joseph Malyengete,Lambo la Joseph Malyengete,3-Jul-21,"Pond,Temporary",_,_,Dry,Dry,_,_,None,Feces,None,0,0
2021,July,Sengerema,Buyagu,Isole,Bugalama,Kwa Laurian Edward ,Lambo la Laurian Edward,Lambo la Laurian Edward,3-Jul-21,"Pond,Temporary",20,26.8,Normal,Dry,11:00,11:15,Bulinus and Pila,Feces,Bulinus,2,1
2021,July,Sengerema,Buyagu,Isole,Mikolani,Kwa Paulo Lupama,Lambo la Paulo Lupama,Lambo la Paul Lupama,3-Jul-21,"Pond,Permanent",22,45,Normal,Dry,11:29,11:44,Bulinus and Pila,Feces,Bulinus,1,0
2021,June,Misungwi ,Igokelo,Iteja,Iteja,Kwa Mwalimu,Kisima cha Mwalimu Ngole,Kisima cha Mwalimu Ngole,10-Jun-21,"Pond, Temporary",11.4,19.3,Normal,Dry,11:35,11:50,Bulinus,"Cow,",Bulinus,93,0
2021,June,Misungwi ,Igokelo,Iteja,Buganda,Kwa Ng'wanongu,Kisima cha Ng'wanongu,Kisima cha Ng'wanongu,10-Jun-21,"Pond, Permanent",8.4,15.9,Normal,Dry,12:03,12:18,None,None,Bulinus,0,0
2021,June,Misungwi ,Igokelo,Iteja,Iteja,Kwa Paulo Mashikuba,Kisima cha Paulo mashikuba,Kisima cha Paulo Mashikuba,10-Jun-21,"Pond, Temporary",16,22.5,Normal,Dry,11:17,11:32,None,None,None,0,0
2021,June,Misungwi ,Igokelo,Iteja,Kabila,Kwa Ndoloja,Lambo la Nyandoloja,Lambo la Nyandoloja,10-Jun-21,"Pond, Permanent",32.7,52,Normal,Dry,12:24,12:39,Bulinus,"Cow, feces.",Bulinus,24,0
2021,June,Misungwi ,Kanyelele,Kanyelele,Mitego A,Shule ya msingi Kanyelele,Kisima cha Ibhingo,Kisima cha Ibhingo,17-Jun-21,"Pond, Temporary",21.2,33.2,Normal,Dry,16:00,16:15,Bulinus,None,Bulinus,33,0
2021,June,Misungwi ,Kanyelele,Kanyelele,Igando,Kwa Ilale,Kisima cha Ng'waluge,Kisima cha Ng'waluge,17-Jun-21,"Pond, Temporary",12,22.4,Normal,Dry,13:25,13:40,Bulinus,None,Bulinus,1,0
2021,June,Misungwi ,Kanyelele,Kanyelele,Ng'wamba,Kwa Nyilila,Kisima cha Ng'wanyilila,Kisima cha Ng'wanyilila,17-Jun-21,"Pond, Temporary",16,31,Normal,Dry,16:45,17:00,Bulinus,None,Bulinus,7,0
2021,June,Misungwi ,Kanyelele,Kanyelele,Malilo,Kwa Buyola,Lambo la Buyola,Lambo la Buyola,17-Jun-21,"Pond, Temporary",44.2,70.2,Normal,Dry,14:38,14:53,Lymnaea,None,None,0,0
2021,June,Misungwi ,Kanyelele,Kanyelele,Ng'wamba,Kwa Nyilila,Lambo la Kanyelele,Lambo la Kanyelele,17-Jun-21,"Pond, Temporary",58,111,Normal,Dry,16:21,16:37,Bulinus,"Cow, Sheep,Dogs, Feces,Goats",Bulinus,19,0
2021,June,Misungwi ,Kanyelele,Kanyelele,Wiyogolo,Kwa Maduka,Lambo la Ng'wamaduka,Lambo la Ng'wamaduka,17-Jun-21,"Pond, Temporary",37,60.6,Normal,Dry,15:00,15:15,None,Feces,None,0,0
2021,June,Misungwi ,Kanyelele,Kanyelele,Malilo,Kwa Mahumbi,Lambo la Ng'wamahumbi,Lambo la Ng'wamahumbi,17-Jun-21,"Pond, Permanent",35,63.8,Normal,Dry,14:03,14:18,"Bulinus, Biomphalaria",None,Bulinus,11,0
2021,June,Misungwi ,Kanyelele,Kanyelele,Wiyogolo,Kwa Makale,Lambo la Ng'wamakale,Lambo la Ng'wamakale,17-Jun-21,"Pond, Temporary",25,44,Normal,Dry,15:20,15:35,"Bulinus, Lymneae","Feces,cow,goat",Bulinus,29,0
2021,July,Sengerema,Kasungamile,Kasungamile,Iseni,Kwa James Yamliga,Kisima cha James Yamlinga,Kisima cha James Yamliga,5-Jul-21,"Pond,permanent",8.3,15.6,Normal,Dry,13:37,13:52,"Bulinus, Lymnaeae, Pila",None,Bulinus,7,0
2021,July,Sengerema,Kasungamile,Kasungamile,Nyachima,Kwa Jeremia Ndamulo,Kisima cha Jeremia,Kisima cha Jeremia,5-Jul-21,"Pond,permanent",5.4,8.7,Normal,Dry,9:40,9:55,"Bulinus,  Pila",None,Bulinus,8,0
2021,July,Sengerema,Kasungamile,Kasungamile,Ng'walolela,Kwa Kasimu Hasani,Kisima cha Kasimu Hasani,Kisima cha Kasimu Hasani,5-Jul-21,"Pond,permanent",8.3,15.6,Normal,Dry,13:15,13:30,Pila and Lymneae,Feces,None,0,0
2021,July,Sengerema,Kasungamile,Kasungamile,Nyachima,kwa Lazaro Makumiabili,Kisima cha Lazaro Makumiabili,Kisima cha Lazaro Makumiabili,5-Jul-21,"Pond,permanent",8,11.7,Normal,Dry,10:20,10:35,"Bulinus,  Pila",None,Bulinus,3,0
